"","namestmin","r2","es"
"10373","w_40_279.5",0.39019561235219,2.50667604379489
"8162","w_32_283.5",0.390177456115892,2.54315706239414
"9825","w_38_279.5",0.389865687799507,2.59278836532966
"14609","w_56_275.5",0.389749958674405,2.65959274337056
"11992","w_46_278.5",0.389607196623857,2.52039295310701
"10920","w_42_281.5",0.389506766319328,2.55463165602845
"11182","w_43_274",0.389435219594803,2.5523867212156
"11456","w_44_278.5",0.389368155058868,2.47211677864723
"8441","w_33_282",0.389267328704521,2.57145433049792
"14610","w_56_276.5",0.389083887582399,2.57656658743659
"15120","w_58_273.5",0.388775949633783,2.68732264975801
"9278","w_36_283.5",0.388303860193646,2.51988524557299
"14865","w_57_274",0.387976214837376,2.68989915409117
"14353","w_55_277",0.387823181815285,2.55630451888203
"12783","w_49_273",0.38770133019112,2.60104838328002
"13831","w_53_273",0.387623279468942,2.61446357797526
"11190","w_43_281",0.387606122679136,2.51649935313495
"14868","w_57_277",0.38756348267968,2.50993729573824
"11186","w_43_278",0.387314704345573,2.45186279914545
"9273","w_36_279.5",0.387281754983857,2.67945367085365
"15124","w_58_277.5",0.387255083608555,2.4912701867871
"12519","w_48_273.5",0.387117657545169,2.59096018223687
"14349","w_55_273",0.38689212331162,2.6493254406261
"11184","w_43_276",0.386885557902447,2.59462821180963
"13315","w_51_279",0.386860759531962,2.53184044915711
"14606","w_56_272.5",0.386788840517551,2.63514108202351
"10921","w_42_282.5",0.386582857829645,2.57624475642967
"14869","w_57_278",0.386581379099488,2.48239226767964
"11452","w_44_274.5",0.386542005912487,2.53994057282158
"14611","w_56_277.5",0.386523777193596,2.49427886575907
"11993","w_46_279.5",0.386461243828051,2.49070306591838
"10099","w_39_279",0.38636084698837,2.52309541078397
"10648","w_41_281",0.386150131496476,2.49765756364634
"11450","w_44_272.5",0.386095807847148,2.51552957592788
"14350","w_55_274",0.385810299145344,2.62885465451531
"13839","w_53_280",0.38571214184232,2.47465502312792
"15375","w_59_273",0.38560991360423,2.68681991833914
"8997","w_35_280",0.38558898603356,2.67579742553316
"11719","w_45_273",0.385520918839093,2.53300962644701
"13577","w_52_279.5",0.385436783021672,2.47230430836658
"8723","w_34_284.5",0.385435495730311,2.50682663529374
"10910","w_42_272.5",0.385246769171581,2.51931541531923
"10650","w_41_283",0.385145694146507,2.56932925915835
"8719","w_34_280.5",0.384922332990814,2.64019702243006
"10378","w_40_283.5",0.384878440224586,2.54083545213844
"14090","w_54_272.5",0.384515491309634,2.61573546008726
